MPSMA-R,1,ESTAMAC,30,MAINT2A,30495,40
PEVEC-R,1,HSBCL3A,49,ESTAPEB,19217,40
SIRPI,1,ESTSI2A,51,ESTSI2A,17629,60
SIRTC,1,ESTSI2A,44,ESTSI2A,13819,60
SIRVA,1,ESTSI2A,16,ESTSI2A,5451,60
LAMMA-R,1,ESTAMAP,43,TABLA3A,15361,40
LARHU,1,ANDESLA,11,ANDESLA,2122,30
VEKMA-I,1,ERVCE3A,40,ESTAMAM,14593,40
VEKMA-R,1,ESTAMAM,39,VERAN3A,14006,40
VEMKVR-NA2,1,ESTAMAA,17,VILRICA,9661,40
VE3KVR-NA2,1,ESTICAA,14,VILRICA,7030,40
VALCNCH-R2,1,VLITK2A,23,CHAGR1A,40990,60
VALCNCR-N2,1,ALBROCA,16,CABTK2A,22030,60
VALCNC6-N2,1,ALBROCA,16,CANCP1A,34357,40
VALCSES-N2,1,ALBROCA,36,ESTASIA,36474,40
VALCSJV-N2,1,ALBROCA,28,JJVAL1A,27461,60
SJERO,1,YSAJO1A,9,YSAJO1A,2961,40
VACRCAZ-N2,1,ESTAN1A,22,EALCDIA,10510,30
VACRCBN-N2,1,ESTAN1A,39,DONBN2A,18628,60
VACROAE-N2,1,ESTAN1A,2,ESTAN2A,241,60
LIMAL-I,1,ESTASLB,57,ALBROCC,24418,40
VLPKVR-NA2,1,LPAVA1A,14,VILRICA,6732,40
VMCKVR-NA2,1,MERMACA,19,VILRICA,9952,40
VALCNEA-N2,1,ALBROCA,27,AMANE1A,26353,40
PGMAL-I,1,PAGMN1A,56,ALBROCB,28823,40
PGMAL-R,1,ALBROCB,62,PAGOS2A,30807,40
VACROEA-N2,1,ESTAN1A,28,AMANE1A,12021,40
LIMAL-R,1,ALBROCC,62,SANTA2A,25630,40
MPVEC-R,1,HSBCL3A,61,PENAB2A,23989,40
VALCSMX-N2,1,ALBROCA,23,MAINT1A,31304,40
VACROEC-N2,1,ESTAN1A,19,ESTACAA,8495,40
VACROLA-N2,1,ESTAN1A,3,ANDESLA,1421,30
VACROPB-N2,1,ESTAN1A,20,PACAB  ,8554,40
VACROPO-N2,1,ESTAN1A,4,PAOJO  ,1429,40
VACROPS-N2,1,ESTAN1A,3,VPESA1A,1042,30
VACROSB-R2,1,ESTAN1A,7,ESTSI2A,2370,60
VACROVE-N2,1,ESTAN1A,2,VERAN3A,436,40
VACROVR-N2,1,ESTAN1A,8,VILRICA,4342,40
VACSBPF-N2,1,ESTAN1A,12,PBAVE1A,5890,40
VAECNAL-N1,1,ESTAN2A,5,ALBROCA,16989,40
VAECNC5-N1,1,ESTAN2A,8,HSBCL3A,14890,60
LIMMA-I,1,ESTASLB,55,ESTAMAP,21029,40
LIMMA-R,1,ESTAMAP,58,SANTA2A,20128,40
VALCNEC-N2,1,ALBROCA,17,ESTACAA,22353,40
VALCNER-N2,1,ALBROCA,11,ESTAPAA,29441,40
VALCNLA-N2,1,ALBROCA,4,ANDESLA,17141,30
VALCNLR-N2,1,ALBROCA,5,PUEBL4A,26667,60
VALCNM1-N2,1,ALBROCA,9,MANOP1A,19686,40
VALCNPB-N2,1,ALBROCA,17,PACAB  ,22423,40
VALCSP6-N2,1,ABACE2A,23,PREAL2A,31772,50
VALCSSP-B2,1,ALBROCA,13,AVE3CSA,20444,40
VALCSVL-N2,1,ALBROCA,15,VERDB2A,22744,40
VALOTEM-N1,1,ALBROCA,5,ESTAMAA,5502,40
VALOTMC-N1,1,ALBROCA,4,MERMACA,5116,60
VALTKVR-N2,1,ALBROCA,21,VILRICA,14660,40
VALTKVV-N1,1,ALBROCA,6,VVETK2A,7741,60
VAECNM1-N2,1,ESTAN2A,10,MANOP1A,5176,40
VAECNPC-N1,1,ESTAN2A,10,PACHO  ,23757,40
VAECNPH-N1,1,ESTAN2A,5,PACUR  ,14125,40
VAECNPJ-N1,1,ESTAN2A,6,PACAF  ,14675,60
VAECNST-N2,1,ESTAN2A,14,ESTASLA,5416,40
VAECNS1-N2,1,ESTAN2A,8,ETAP11A,3664,40
VAECNTE-N2,1,ESTAN2A,13,ESTATCA,5908,40
LINAL-I,1,ESTASLC,32,ALBROCG,23576,40
LINAL-R,1,ALBROCG,36,SANTA2A,26212,40
PASAL-I,1,PPAPC1A,44,ALBROCF,43325,40
PASAL-R,1,ALBROCF,44,PPAPC2A,44983,40
VALVBCV-N1,1,ALBROCA,4,CRUVHVA,10155,60
VALVBE3-N1,1,ALBROCA,7,ESTICAA,10726,40
VALVBE4-R1,1,ALBROCA,4,ESTVARA,9745,40
VALVBPU-N1,1,ALBROCA,5,URRACCA,10560,60
VAECNVV-N1,1,ESTAN2A,6,VVETK2A,14482,60
VAEROAC-N2,1,ESTAN2A,2,ESTAN1A,933,60
VAEROLA-N2,1,ESTAN2A,2,ANDESLA,648,30
VAEROPB-N2,1,ESTAN2A,18,PACAB  ,8313,40
VAEROPF-N2,1,ESTAN2A,10,PBAVE1A,6415,40
VAEROPO-N2,1,ESTAN2A,3,PAOJO  ,1188,40
VAEROPS-N2,1,ESTAN2A,4,VPESA1A,1975,30
VAEROSB-N2,1,ESTAN2A,7,ESTSI2A,2118,60
VAEROVE-N2,1,ESTAN2A,3,VERAN3A,1369,40
LPEBC,1,ESTLP2A,33,ESTLP2A,17656,40
LPEBC-VI,1,CAL1C2A,3,ESTLP1A,4697,60
LPEBC-VR,1,ESTLP2A,3,CAL1C1A,3969,60
LPECA-VI,1,CPRAD2A,3,ESTLP1A,4171,60
LPECA-VR,1,ESTLP2A,3,CPRAD1A,4248,60
LPEDO,1,ESTLP2C,44,ESTLP2C,29459,40
LPEDO-VI,1,PARED2A,5,ESTLP1A,12811,60
LPEDO-VR,1,ESTLP2C,4,PARED1A,13562,60
PATED,1,PAICT1A,23,PAICT1A,8626,60
